,Unnamed: 0,reviews,dates,names,Positive,Negative,Neutral,Compound,Sentiment
0,0,"""AIA with his Vitality program is such a good value for money. The cashback on the gym membership paid off the insurance policy within a few months..""",2024-05-28,William (NSW),0.257,0.0,0.743,0.765,Positive
1,1,"""Purchased a policy via a broker 22 years ago, never submitted a claim Never had loyality discounts/ bonuses no interest in discussing needs/ no customer service ' Stepped ' policy - 90% premium hike in 3 years? I am changing an insurer.""",2024-05-22,Vlad (VIC),0.161,0.107,0.732,0.4939,Positive
2,2,"""Seamless experience setting up my Life Cover and TPD with AIA + Vitality through Insurance Watch. I compared the quotes online and clicked all the way through to buying the policy. Was followed up immediately for any missing information and policy was set up within 3 days, amazing!.""",2024-05-22,KIN (VIC),0.054,0.046,0.9,0.1007,Positive
3,3,"""Policy has just sat there. I've never made a claim so unsure of how I would rate them. So far so good. Price seems reasonable. I tried to add income protection but the online process was unclear, it seemed like I was risking losing the existing covers so I didn't proceed..""",2024-05-09,Trent (NSW),0.102,0.189,0.709,-0.5957,Negative
4,4,"""They seem to be okay but we haven't made a claim.""",2024-04-29,Karlie (QLD),0.139,0.0,0.861,0.1154,Positive
5,5,"""AIA offers a lot of rewards for being healthy, both physically and mentally. this is a great plus. Reward program like no other in the market.""",2024-04-29,Andrew (NSW),0.444,0.061,0.496,0.9313,Positive
6,6,"""Unprofessional. Customers be aware that your income protection policy is not increased with CPI. You can only earn what you were earning at the time of claim. Five years later, I still survive on what I was earning five years ago. When I received a CPI increase CUC reduced this amount from my payment so I was no better off. Disgusting Money Grabbing behaviour from a disgusting organisation.""",2024-04-23,Robin (SA),0.075,0.153,0.772,-0.6837,Negative
7,7,"""They have been easy to deal with and I haven't had any issues with them..""",2024-04-06,Gavin (VIC),0.182,0.0,0.818,0.4404,Positive
8,8,"""Could only get via broker, long delay to change or update policy.""",2024-03-21,Mitchell (QLD),0.0,0.173,0.827,-0.3182,Negative
9,9,"""I am overall happy with my insurer, I would recommend them given they were the cheapest at the time for my circumstances.""",2024-03-02,Dave (VIC),0.246,0.0,0.754,0.7351,Positive
10,10,"""The overall process is fast and easy. The reason I chose AIA is that they are worldwide large organisation and the Vitality programme is really worth it if you are an active workout person. It will provide you more value especially you need to travel oversea at least once a year..""",2024-01-03,Toshihiko (VIC),0.225,0.0,0.775,0.8953,Positive
11,11,"""I like the AIA Vitality add-on and would certainly recommend others to get a quote from them..""",2023-12-05,Mariano (NSW),0.447,0.0,0.553,0.8271,Positive
12,12,"""Competitive price in the market and easy application process for SMSF Super fund members.""",2023-09-19,Vikram (NSW),0.436,0.0,0.564,0.8176,Positive
13,13,"""Very low contact, I like the AIA Vitality component that is signed up for separately..""",2023-07-28,Hayden (NSW),0.274,0.13,0.596,0.3961,Positive
14,14,"""I've had sufficient communication and no cause for concern with AIA.""",2023-07-28,Matthew (VIC),0.0,0.18,0.82,-0.296,Negative
15,15,"""AIA are quite difficult to communicate with. I wanted to cancel one component of my insurance and had to go through a financial adviser to do so. It is also becoming quite expensive to maintain my insurance..""",2023-07-15,Russell (WA),0.0,0.127,0.873,-0.5849,Negative
16,16,"""Affordable, easy and convenient to apply and avail. The team was knowledgeable and knew their products..""",2023-06-06,Danish (NSW),0.162,0.0,0.838,0.4404,Positive
17,17,"""Insurance transferred from comm insurance but they did not provide AIA vitality benifits which is dissappointing..""",2023-04-02,Ram (NSW),0.0,0.14,0.86,-0.3491,Negative
18,18,"""So far I liked this insurar and have no issues..""",2023-04-01,Rushabh (NSW),0.251,0.179,0.57,0.2212,Positive
19,19,"""Fortunately have not had the need to claim, but the application process was quick and easy. The policy coverage is quite good and offers buyback between policies if claimed..""",2023-02-26,Henry (VIC),0.232,0.0,0.768,0.8458,Positive
20,20,"""Trauma insurance had removed any mental health concerns but IP is currently paying for IP. Application was very comprehensive but understand why. They are happy, so far, to work with my existing medical professonals which is great. Also took part in a couple of AIA programs which were also very helpful. Beyond Pain great to understand my ongoinf chronic pain issues..""",2023-02-24,Sallie (QLD),0.27,0.129,0.6,0.9353,Positive
21,21,"""We have been with this insurer for over 10 years. We have not had to claim. Like everything at this time, it would be better if it was cheaper, but we want the insurance so pay what we have to..""",2023-02-20,Nicole (VIC),0.119,0.053,0.829,0.2145,Positive
22,22,"""The benefits from AIA is good like the vitality program but value for money isnt that great..""",2023-02-13,Jean (NSW),0.461,0.0,0.539,0.8047,Positive
23,23,"""Friendly and helpful staff, unfortunately no office in out states so need to do everything through email and phone.""",2023-02-12,Juanita (SA),0.234,0.18,0.586,0.34,Positive
24,24,"""My experience has been fairly hands-off over the last 10 years. My cover is within my superannuation and just going along..""",2023-02-10,Karl (QLD),0.0,0.0,1.0,0.0,Neutral
25,25,"""I would advise using any other provider other than AIA as paying annual bills is almost impossible. They do not send invoices in a timely fashion and when you try contact them their resposnses are poor and unhelpful. After 10 emails and the submission multple direct debit authority forms I am still waiting for my premium payment to be processed. If they can't arrange to take your policy payment what hope have you got that AIA will actually process a claim. They are ill prepared to answer inquiries I asked 3 months before my anniversary date as to what my policy payment amount would be for the following year and they did not know. Further, they could not give me a billing date and they never sent an invoice prior to the bill due date. All this was after I had a direct debit in place and the funds available for payment a day before my policy anniversary date as I had no clear idea of when the policy payment was due having received no answer from them by phone or email.. Please take your money and seek insurance help elsewhere and if everyone does this then hopefully AIA will be out of business or at least wise up to the fact that some basic level of customer service is required. The web page is practically useless one should be able to login and see all one's policy details, get tax records, see invoices etc whenever one wants to! AIA makes AMP look good and that is some achievement..""",2023-01-31,DANIEL (WA),0.084,0.048,0.868,0.8221,Positive
26,26,"""I havent had a lot of communication with AIA Life but so far the process has been easy.""",2023-01-03,Anita (TAS),0.0,0.0,1.0,0.0,Neutral
27,27,"""I have really had no contact with my insurer except to have yearly premiums increase each year . I have no reason to like or dislike my insurance company.""",2023-01-03,Susan (NSW),0.14,0.22,0.64,-0.4131,Negative
28,28,"""Easy to apply and reasonable price. I have never had to claim, and fingers crossed I never will.""",2022-12-14,Morgan (QLD),0.162,0.0,0.838,0.4404,Positive
29,29,"""Policy was setup from superannuation - australian retirement trust (used to be sunsuper) - quoting and transaction was smooth with easy to understand interface..""",2022-12-12,Felix (NSW),0.237,0.0,0.763,0.7351,Positive
30,30,"""They are ok but I never here from them. I'm not sure if my premium has gone up or not.""",2022-10-01,Taylor (NT),0.076,0.116,0.808,-0.2127,Negative
31,31,"""Great communication when I went on maternity leave they notified me with plenty of notice when it would be on hold and then resume. It's so easy because it's done through superannuation.""",2022-09-11,Lauren (WA),0.212,0.032,0.756,0.8244,Positive
32,32,"""I have purchased the life insurance for my husband more than 10 years ago thru Insurancewatch. Sadly, my husband passed away a month tomorrow and I contacted AIA and insurance watch to apply for a claim to help me pay for funeral expenses. Donna from Insurance watch and the AIA team were so compassionate of my needs at this difficult time and sent me all the documents required for the claim. Within a week of sending the documents to Donna, I received the funds in the bank and this helped me enormously the burden of the funeral expenses and other associated costs. Thank you Donna & AIA team for your efficiency and support during this difficult time. Your time is very much appreciated. I know my husband is watching over us and would be so grateful of your help as well..""",2022-07-27,Marilyn (QLD),0.152,0.112,0.736,0.8192,Positive
33,33,"""Absolutely disgraceful customer service I cancelled in 2012 because of terrible service and now in 2022 have ended back here due to the Comminsure transition and 10 years on it is no better. Poor communication archaic systems and poor customer service philosophy's. I have been chasing for the past week either a policy document, certificate of currency or a breakdown on this policy for superannuation purposes Iâve spoken to 3 people, waited for hours on phones to get someone to send me this information on email I've waited over a week and they send me the wrong one?? the one they said they couldnât send??? Until after June 30 2022? They also have to send out paper renewals and have no way of making it electronic WOW this is 2022. Imagine if you had to make a claim I think I will be looking to move again..""",2022-04-27,Kevin (WA),0.048,0.127,0.826,-0.8841,Negative
34,34,"""These were the ones recommended to us by our broker. Seemed easy enough to get the policies. Was affordable, compared to most and seems to cover all grounds..""",2022-03-26,Jerilee (WA),0.153,0.0,0.847,0.5719,Positive
35,35,"""The application process is very easy and convenient. The price and benefits are competitive..""",2022-03-25,Prashantchandra (VIC),0.326,0.0,0.674,0.6997,Positive
36,36,"""The coverage of the insurance is pretty competitive as compared to others..""",2022-03-25,Aisah (VIC),0.329,0.0,0.671,0.5994,Positive
37,37,"""Poor communication in relation to processes around life insurance. I would not recommend them..""",2022-03-23,Jeremy (VIC),0.0,0.321,0.679,-0.6381,Negative
38,38,"""Good customer service, have been with them for a long time now and they are good..""",2022-03-23,Chris (NSW),0.172,0.0,0.828,0.4404,Positive
39,39,"""The AiIA Call centre wait times are way too long..""",2022-03-23,Shui (VIC),0.0,0.0,1.0,0.0,Neutral
40,40,"""Went with them from advice from financial advisor however premiums have increased by over $600 per year the past 2 years so now looking elsewhere..""",2021-12-08,Daniel (VIC),0.084,0.0,0.916,0.2732,Positive
41,41,"""I held a Life and TPD policy with AIA and unfortunately had to make a claim on the TPD cover. The claims process was easy although my broker Insurance Watch helped immensely with this. Although the claim took just over a year to finalise, I do understand that this was likely due to the nature of my injury (psychiatric) and the need for it to be stable and stationary before assessment. Once the assessment took place, AIA was quite quick to respond and accept the claim. Payment was made within a day or so. Overall, I consider AIA was very good to deal with through the claims process and was very fair in assessing the claim. I did feel that they were here to help me, rather than find a way to deny a valid claim (which had been a concern I had at the start given an experience I had with a different insurer and a different type of claim)..""",2021-11-03,Sharon (QLD),0.1,0.047,0.853,0.8218,Positive
42,42,"""Like - it is globally recognised - offers voucher annually to encourage check-ups Dislikes - Nothing really but I am yet to claim from them (touchwood!).""",2021-10-29,SinChoo (NSW),0.167,0.074,0.759,0.3274,Positive
43,43,"""Simple policy setup and annual review of sum insured to keep pace with market inflation. Easy to communicate with and could recommend to others.""",2021-10-26,Leslie (QLD),0.197,0.0,0.803,0.6597,Positive
44,44,"""I like the ease of the application process, and that they offer a discount with AIA Vitality..""",2021-10-13,Jeremy (QLD),0.263,0.0,0.737,0.6124,Positive
45,45,"""Customer Service is poor. Wait a long time for a phone call to speak to human. Email sent and wait many days (usually nearly a week) to get a reply. Form is hard to find. Customer service person is not really knowledgable and don't understand English much. I am only stick with this insurer because the features and premium is worth these hassles. Pro-tips: Use Financial Advisor who has a lot of patience to have these headaches between you and AIA, so you save your day and live a happy life..""",2021-10-11,Vorrasit (QLD),0.098,0.049,0.853,0.6786,Positive
46,46,"""Premium increases of 25-35% per year. Send me dozens of letters in the post per year (I would prefer email), no online customer portal..""",2021-10-09,Anthony (NSW),0.0,0.087,0.913,-0.296,Negative
47,47,"""I never used it! got it from my friend who sells insurance. But one time it sent me a letter advising my beneficence been changed, which I didn't. I called few times and complaint. They said my profile was not updated but never explained why this letter got sent to me. Finally got a apology letter after I refused to renew my policy and my friend pushed from her end. Really really disappointed, not just because of the mistake which is a huge security breach, but also their response and action after that..""",2021-10-08,Feng (QLD),0.175,0.125,0.7,0.6741,Positive
48,48,"""Premiums expensive, but so are all life insurance policy premiums..""",2021-10-08,Shui (VIC),0.0,0.0,1.0,0.0,Neutral
49,49,"""I did try to make an income insurance claim but I had to wait not only until I'd been off for the waiting period but also I had used all leave I had owing. My Long Service Leave chewed up the rest of my convalescence and no claim was lodged..""",2021-10-08,Tom (QLD),0.0,0.109,0.891,-0.5267,Negative
50,50,"""I've never dealt with them and as they're the underwriter to my superannuation provider, I had no involvement in the choice to go with them. I can't really comment on them other to say that their benefits seem OK given I'm not paying for them personally..""",2021-10-08,Evan (NSW),0.114,0.045,0.841,0.516,Positive
51,51,"""This insurance is very expensive but they all are. Made a claim, but it was actually by accident, after coming across a section in our paperwork that related to a procedure I had, so regular helpful communication may have helped us realise earlier that this could be claimed for..""",2021-10-07,Tamara (SA),0.08,0.081,0.839,-0.0084,Neutral
52,52,"""I love the AIA Vitality program but the rest of their systems and processes are antiquated. There's no online portal to check your account or download policy info. Everything is done via snail mail and paper. You have to use an insurance agent to take out a policy in the first place. They need to get with the 21st century.""",2021-06-06,Michelle (QLD),0.067,0.044,0.888,0.1154,Positive
53,53,"""Have been very happy with the information provided to me and having the addition of AIA vitality.""",2021-06-04,Elias (NSW),0.2,0.0,0.8,0.6115,Positive
54,54,"""Open this policy well over 15 years ago. Had little to no correspondence from AIA. All communication had to be initiated by me. Not sure if policy is still relevant for my current situation.""",2021-06-04,David (QLD),0.057,0.105,0.838,-0.1983,Negative
55,55,"""Nice and easy, all done through my super fund and barely any paperwork for me to fill out..""",2021-05-12,Ben (QLD),0.39,0.0,0.61,0.8625,Positive
56,56,"""They provide an effortless way to keep you insured and peace of mind know that you're fully covered.""",2021-04-23,Michael (NSW),0.171,0.0,0.829,0.5423,Positive
57,57,"""Good comms, a seamless application process and great value for money, Highly recommended..""",2021-04-08,Ronald (NSW),0.511,0.0,0.489,0.8555,Positive
58,58,"""The sign up process was straight forward and offered what we needed..""",2021-03-09,Daniel (QLD),0.147,0.0,0.853,0.2263,Positive
59,59,"""I have no issue with the company and I definitely recommend them to others.""",2021-02-27,Sukhwinder (VIC),0.299,0.126,0.575,0.4588,Positive
60,60,"""Friendly customer service, have not had any issues with them. I've also never had to claim, but I'm confident that they'd be helpful..""",2021-02-16,Anthony (WA),0.234,0.0,0.766,0.7506,Positive
61,61,"""Hubby and I have life and TPD insurance through our super. As we get older the insurance cover drops but the premiums keep rising. Very shabby treatment since we have been with them since 2012..""",2021-02-15,Sonia (VIC),0.069,0.0,0.931,0.3506,Positive
62,62,"""Having life and TPD insurance provided by AIA via my super fund means I don't need to deal with the insurance company. I feel the premiums are lower than they would be if I paid AIA directly, and the premiums come out of my employer contributions so I dont pay income tax on them..""",2021-01-17,Simon (SA),0.1,0.04,0.86,0.5064,Positive
63,63,"""I think they are sufficient for the purposes i am getting insured for. no complaints but no praises either. however their aia vltality program is pretty good.""",2021-01-17,Jhin (VIC),0.246,0.173,0.581,0.6858,Positive
64,64,"""Dislike: I am on a level premium, yet my premium for 2020 increased by 15% which they stated was due to external factors Like: AIA Vitality program offering benefits (although, they're probably using the data received to increase policies).""",2021-01-17,Richard (ACT),0.269,0.0,0.731,0.8689,Positive
65,65,"""Have not had to claim, so haven't been able to test them effectively..""",2021-01-17,Bryce (SA),0.0,0.0,1.0,0.0,Neutral
66,66,"""I was very healthy when I signed up. I was terminally ill with terminal heart failure, as diagnosed and documented by end stage heart failure team/ transplant team Acting Medical Director and heart transplant surgeon. I was terminally ill for about 2 weeks. Proof was provided. Weirdly I survived, and have received a gifted heart for which I am grateful every day. There was no possible way to predict this (no family history) and my claim for terminal illness and IP payments were both perfectly legitimate. I desperately want to return to work, but I will never be able to return to work full time. I should be insured for his, but my impression is that AIA only want to save as much money as possible by delaying my claim and only try to defend themselves to a very low standard in the AFCA Ombudsman cases. Heart transplants and mechanical hearts are, by definition, palliative interventions. They don't provide a cure, they just prolong life and never allow a full recovery. My main concern is the number of stroke events I have experienced already, and how this impacts my work capacity. Having a completely unsupportive insurer only adds to the stress, and this stress has immediately preceded two stroke events (I even had an alarm during a phone call with AIA claims assessor, and this was recorded and preceded a hospitalisation for a TiA by around a week). Please be careful when choosing any kind of life insurance product. You think you're buying assurance for your family, but you will not know if your insurer is any good until you make a claim. By then it's too late. AIA have had to pay extra benefits already and pay to meet a determination in my favour by AFCA. It has cost them more in AFCA fees than compensation to me, so they are wasting their shareholders' and policyholders money in fighting 'losing battles' in AFCA. I am now trying to have the rehabilitation benefits to pay for cardiac monitoring equipment for my fitness/ rehabilitation training and gym membership. AIA will almost certainly deny this and again spend more money fighting the case than they would to support my rehabilitation. I'm determined to return to work part time, based on medical advice. I'm not ready to be thrown on the scrap heap, but I will not be able to maximise my recovery without AIA's support. Do AIA want their clients to return to work and earn as much as possible, or not?.""",2020-12-16,Brett (NSW),0.136,0.122,0.742,0.851,Positive
67,67,"""Any changes with this provider is done paper based. No electronic copy of forms or correspondence. Any update of information needs to be submitted via post. Value for money is pretty competitive , but not cheap. AIA vitality program is the only feature that attracts and keeps me with the provider..""",2020-11-09,Ferri (VIC),0.153,0.071,0.775,0.5657,Positive
68,68,"""They are excellent and vitality prizes and discounts are great too.""",2020-10-30,Jon (VIC),0.652,0.0,0.348,0.9201,Positive
69,69,"""No complaints, it's a lot of paperwork, but trying to up your cover is a nightmare; existing conditions greatly stifle your options..""",2020-10-20,Alex (VIC),0.0,0.161,0.839,-0.3506,Negative
70,70,"""I have found that AIA's Vitality program to be very good value. Apart from the insurance discounts, getting a gym membership at a reduced rate and also getting rewarded for keeping active is a great benefit. I'd definitely recommend AIA and especially taking up the Vitality membership..""",2020-06-24,Enoch (VIC),0.457,0.0,0.543,0.9792,Positive
71,71,"""I liked the speedy service whenever you ring up but didn't like the service after you have signed up..""",2020-06-22,Fong (NSW),0.088,0.124,0.788,-0.1938,Negative
72,72,"""AIA are no better, no worse than other life insurance providers..""",2020-06-21,Shui (VIC),0.167,0.431,0.402,-0.5574,Negative
73,73,"""There's no online portal to login to so do self service things like check my cover, adjust insured amounts etc...""",2020-06-21,Eric (NSW),0.11,0.097,0.793,0.0772,Positive
74,74,"""I love the AIA vitality product. Would recommend them for this product . The application process was difficult at the time as I was waiting on test results but once the policy was put in place it has been simple..""",2020-05-27,Vivian (NSW),0.144,0.042,0.814,0.5023,Positive
75,75,"""Have been in claims process for 5 months now with hardly any communications - mine is straight forward case. Should have been over and done within 2 weeks..""",2020-05-26,Rhys (QLD),0.073,0.0,0.927,0.2263,Positive
76,76,"""The customer service is great and staff are helpful and easy to understand.""",2020-05-07,Linda (WA),0.495,0.0,0.505,0.8689,Positive
77,77,"""I would recommend AiA they have treated me with respect and transperancy.""",2020-05-06,Ronnie (WA),0.359,0.0,0.641,0.6808,Positive
78,78,"""AIA TPD CLAIM. DATING BACK TO 2018 AIA HAVE USED DELAY AFTER DELAY WITH QUESTIONS TO MY ACCOUNTANT, ATO ASSESSMENT NOTICES, SURGEON AND UNETHICAL COLLUSION WITH OTHER INSURANCE COMPANIES - TRYING TO SOURCE INFORMATION FROM THEM. I LODGED A COMPLAINT WITH AIA COMPLAINTS DEPARTMENT, THEY SAID THEY WOULD KEEP US UPDATED BUT NOTHING - HAD TO CONTACT THEM WE ASKED FOR AN ESCALATION OF OUR CLAIM AND A TIMELINE BUT THEN HAD TO FOLLOWUP AGAIN, AND NOW IT NEEDS TO GO TO ANOTHER DEPARTMENT FOR REVIEW. AIA WANTED A NEW DOCTOR'S REPORT FROM THE SURGEON, EVEN THOUGH THEY ALREADY HAD HIS REPORT, BUT WOULD NOT PAY FOR A NEW ONE. AIA NOW WANT TO ARRANGE AN INDEPENDENT MEDICAL EXAMINATION AFTER TALKING ABOUT THIS FOR MONTHS BU tSTILL NOTHING ORGANISED IT HAS BEEN AN ONGOING NIGHTMARE, EXTREMELY STRESSFUL WITH STILL NOOOOOO ANSWERS OR RESULTS.""",2020-04-20,TERENCE (WA),0.032,0.118,0.85,-0.9188,Negative
79,79,"""We havent had uch to do with them on a personal basis , we went through a broker who was great..""",2020-04-02,ELIZABETH (NSW),0.0,0.0,1.0,0.0,Neutral
80,80,"""Took to long to Review and process my claim Too many people involved in my claim.""",2020-03-18,Grant (QLD),0.0,0.0,1.0,0.0,Neutral
81,81,"""AIA vitality is a great rewards benefit and provided a lot of value. The massive price increases this year was disappointing to see and hope that my level premium is not affected too much in the future.""",2020-03-11,Chris (VIC),0.389,0.065,0.546,0.933,Positive
82,82,"""I have had a really good experience with this insurer and luckily, have had to make no claims touch wood!.""",2020-03-11,Rebecca (NSW),0.272,0.088,0.64,0.6793,Positive
83,83,"""Would like to look at other options. It was so long ago. Set and forget type of thing.""",2020-03-08,Jamel (VIC),0.123,0.093,0.784,0.1531,Positive
84,84,"""Straightforward and easy application, constant updates on changes and regular reminders of what I can claim and how..""",2020-03-07,Rune (VIC),0.153,0.0,0.847,0.4404,Positive
85,85,"""I am happy with the insurer as recommended by Yellow Brick Road overall it is good but expensive.""",2020-03-07,Pamela (VIC),0.275,0.0,0.725,0.5719,Positive
86,86,"""I LOVE the benefits of this life insurance... they really inspire healthy living with their incentives!.""",2020-02-28,Elise (NSW),0.552,0.0,0.448,0.9413,Positive
87,87,"""So far it has been an easy process, though I have never tried making a claim..""",2020-02-24,Dallas (TAS),0.182,0.0,0.818,0.4404,Positive
88,88,"""I have held this policy since 1985 very happy although luckily have not needed so far..""",2020-02-19,Janise (VIC),0.351,0.0,0.649,0.8204,Positive
89,89,"""It's a cheap product that is more than eager to take your money. However, when it comes to claims it is slow, unresponsive and provides little information to us. They're happy to continue calling you to get you off the income protection claim, but to request them for additional documentation is like the hardest task in the world. Disgusting.""",2020-02-03,Min (NSW),0.12,0.0,0.88,0.7572,Positive
90,90,"""The insurance is offered via my superannuation and has been easy to establish and is great value for money,.""",2020-02-02,Andrew (VIC),0.37,0.0,0.63,0.8555,Positive
91,91,"""Very Easy to join and great ongoing communication. They also have a fantastic app where you can see your account easily..""",2020-01-30,Matthew (NSW),0.455,0.0,0.545,0.924,Positive
92,92,"""I managed a company and we use AIA for all employees not the best company I have dealt with for value for money.""",2020-01-08,Sharon (NSW),0.097,0.136,0.767,-0.2425,Negative
93,93,"""With a ease of application there are added benefits that will keep you motivated.""",2020-01-06,Amit (VIC),0.317,0.0,0.683,0.6249,Positive
94,94,"""They take it upon themselves to review my premiums, without consultation..""",2020-01-02,Patrick (WA),0.0,0.0,1.0,0.0,Neutral
95,95,"""The insurer uses brokers, which can be very painful when you are dealing with different people all the times. However if you can get pass this, they are very good..""",2019-12-26,John (NSW),0.0,0.099,0.901,-0.4927,Negative
96,96,"""They are hard to get to speak to a person. Send an email, no reply. Finally get a person and they are rude. Dont use them.""",2019-12-11,Margaret (NSW),0.0,0.239,0.761,-0.6808,Negative
97,97,"""Speedy, efficient service. Good rates and easy to deal with..""",2019-10-02,Denis (QLD),0.551,0.0,0.449,0.8225,Positive
